,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
442,616.0,2024,1,1,4,2,3,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,6.0,7.0,3142.4700000000003,541.8051724137931,474.079525862069,1015.8846982758621,0.17241379310344826,0.15086206896551724,0.3232758620689655,5,5,5,3,5,5,5,5,5,2
447,622.0,2024,1,1,5,2,4,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,7.0,6.0,7.0,6500.0,2060.2218700475437,515.0554675118859,1545.1664025356577,0.3169572107765452,0.0792393026941363,0.23771790808240886,3,4,5,2,4,4,4,4,4,2
450,626.0,2024,1,1,5,2,2,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,6.0,20.0,21.0,3370.8870000000006,0.0,111.12814285714288,2222.5628571428574,0.0,0.03296703296703297,0.6593406593406593,5,5,5,5,5,5,5,5,5,0
459,640.0,2024,1,1,5,1,3,1,1,0,1,4,3,5,1,1,0,0,1,0,0,0,0,3.0,7.0,8.0,2250.0000000000005,401.7857142857143,200.89285714285714,753.3482142857143,0.17857142857142852,0.08928571428571426,0.33482142857142855,5,4,5,3,5,3,4,4,4,5
475,657.0,2024,1,1,4,2,5,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,5.0,6.0,4100.0,1002.4449877750611,601.4669926650366,300.7334963325183,0.24449877750611246,0.14669926650366746,0.07334963325183373,5,5,5,5,5,5,5,5,4,2
482,664.0,2024,1,1,5,2,2,1,3,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,9.0,10.0,2156.5590000000007,273.67500000000007,328.4100000000001,273.67500000000007,0.12690355329949238,0.15228426395939085,0.12690355329949238,5,5,5,4,5,4,4,5,5,3
486,669.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1202.28,125.82000000000001,279.6,279.6,0.10465116279069768,0.23255813953488375,0.23255813953488375,5,5,5,5,5,5,5,5,4,2
494,678.0,2024,1,1,99,2,3,1,1,0,1,4,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1094.7000000000003,268.3088235294118,214.64705882352945,107.32352941176472,0.24509803921568626,0.19607843137254902,0.09803921568627451,5,4,5,3,5,5,4,5,5,2
495,679.0,2024,1,1,4,1,4,1,1,0,1,5,4,5,1,1,0,0,1,0,0,0,0,5.0,11.0,12.0,1893.1499999999999,260.40577716643736,325.50722145804673,32.55072214580467,0.1375515818431912,0.17193947730398898,0.0171939477303989,4,5,5,3,5,5,3,5,4,5
512,700.0,2024,1,1,1,1,5,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,3.0,4.0,3914.4000000000005,211.77998196573492,211.77998196573492,211.77998196573492,0.05410279531109107,0.05410279531109107,0.05410279531109107,4,5,5,4,5,5,5,5,4,4
541,741.0,2024,1,1,1,2,2,1,2,1,1,4,4,4,1,1,1,0,0,0,0,0,0,7.0,4.0,5.0,1398.0000000000002,196.90140845070425,210.96579476861172,703.2193158953723,0.14084507042253522,0.15090543259557346,0.5030181086519114,4,4,4,4,5,4,5,5,5,0
554,757.0,2024,1,1,1,1,2,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,3.0,2.0,3.0,603.4999999999999,85.5017709563164,142.50295159386067,71.25147579693034,0.14167650531286896,0.2361275088547816,0.1180637544273908,5,5,5,4,5,4,5,4,4,1
569,776.0,2024,1,1,2,2,3,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,11.0,12.0,1808.6400000000003,317.30526315789473,237.97894736842107,475.95789473684215,0.17543859649122803,0.13157894736842105,0.2631578947368421,5,5,5,5,5,5,5,5,5,3
570,777.0,2024,1,1,3,2,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,1,7.0,9.0,10.0,2750.0000000000005,595.6678700361011,397.11191335740074,248.19494584837545,0.21660649819494582,0.14440433212996387,0.09025270758122743,3,5,5,5,5,3,4,5,5,6
580,792.0,2024,1,1,5,1,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,2.0,6.0,7.0,1313.6400000000003,312.77142857142866,208.51428571428573,104.25714285714287,0.2380952380952381,0.1587301587301587,0.07936507936507935,5,5,5,5,5,5,5,4,5,1
582,794.0,2024,1,1,2,1,3,1,1,0,1,4,4,5,1,1,1,0,0,0,0,0,0,2.0,9.0,10.0,1303.8,298.865329512894,298.865329512894,149.432664756447,0.22922636103151864,0.22922636103151864,0.11461318051575932,5,5,4,3,5,4,4,5,5,5
585,797.0,2024,1,1,1,1,5,1,4,1,1,4,5,5,1,1,0,1,0,0,1,0,0,3.0,6.0,7.0,335.52000000000004,87.92937931034484,69.41793103448278,85.61544827586211,0.2620689655172414,0.20689655172413796,0.2551724137931035,5,4,4,3,5,5,5,4,4,4
591,803.0,2024,1,1,2,2,5,1,1,0,1,4,3,3,0,1,0,0,0,0,0,0,0,4.0,5.0,6.0,1086.4999999999998,357.4013157894737,142.96052631578945,71.48026315789473,0.3289473684210527,0.13157894736842107,0.06578947368421054,3,4,4,3,5,4,4,2,2,2
592,804.0,2024,1,1,1,2,5,1,4,1,1,4,5,5,1,1,0,1,0,0,1,0,0,2.0,5.0,6.0,335.52000000000004,61.00363636363638,30.50181818181819,61.00363636363638,0.18181818181818185,0.09090909090909093,0.18181818181818185,5,4,4,3,5,4,4,4,3,0
597,811.0,2024,1,1,2,2,2,1,1,0,1,5,3,5,1,1,0,0,0,0,1,0,0,3.0,6.0,7.0,1086.5000000000005,263.9698736637513,211.17589893100103,36.95578231292518,0.2429543245869776,0.1943634596695821,0.03401360544217687,4,5,5,5,4,5,5,5,5,6
612,836.0,2024,1,1,1,2,2,1,2,1,1,5,5,5,2,0,0,0,0,0,1,0,0,4.0,3.0,4.0,1162.8000000000006,153.08571428571432,201.9428571428572,211.71428571428578,0.13165266106442572,0.1736694677871148,0.18207282913165262,5,4,5,4,5,3,4,4,4,3
623,859.0,2024,1,1,5,1,2,1,1,0,1,4,1,4,1,1,1,0,0,0,1,0,0,2.0,12.0,13.0,2189.400000000001,523.7799043062203,419.0239234449762,62.853588516746434,0.23923444976076552,0.1913875598086124,0.028708133971291863,5,5,4,4,5,5,5,5,4,5
628,868.0,2024,1,1,5,2,3,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,13.0,14.0,3503.0400000000004,1077.8584615384616,1077.8584615384616,107.78584615384615,0.30769230769230765,0.30769230769230765,0.030769230769230764,5,5,5,4,4,5,4,4,5,0
642,887.0,2024,1,1,3,2,3,1,1,0,1,5,4,3,0,1,0,0,0,0,0,0,0,2.0,2.0,3.0,4300.0,201.87793427230048,504.69483568075117,100.93896713615024,0.04694835680751174,0.11737089201877934,0.02347417840375587,3,4,5,1,4,3,2,4,1,2
644,890.0,2024,1,1,4,2,1,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,5.0,20.0,21.0,8834.699999999999,1018.5559878945093,509.27799394725463,254.63899697362731,0.11529038766392853,0.057645193831964266,0.028822596915982133,4,4,4,4,4,4,4,4,4,2
